bairro,geometry,Quantidade de Apartamentos a Venda
São Sebastião,"POLYGON ((496829.41392159404 8363978.738181023, 496804.6298665331 8363874.53468719, 496778.02336238633 8363706.09896066, 496763.6980291652 8363607.143156668, 496751.43877323926 8363377.65259024, 496769.75666618295 8363204.655113207, 496792.4571241999 8362990.263802746, 496741.2513234435 8362975.519093258, 496706.42759268015 8362994.463087176, 496694.13486975123 8363015.515345768, 496698.22453433945 8363066.0456480505, 496673.7529728266 8363086.787643009, 496624.48341363185 8363078.667850654, 496552.788760681 8363103.922527909, 496468.7994282429 8363160.756323969, 496423.72635578364 8363228.122594267, 496397.08959095774 8363284.964569427, 496400.56453183014 8363304.787681196, 496374.54047932086 8363400.758277077, 496354.044310592 8363484.971365153, 496349.9428736298 8363516.551754504, 496366.31073010375 8363642.878364782, 496374.4889227351 8363743.93903047, 496311.337711742 8363782.643613599, 496357.8033722031 8363821.82118327, 496551.07531275676 8363965.517793354, 496673.69642002514 8363974.139589954, 496829.41392159404 8363978.738181023))",14
Centro,"POLYGON ((496917.93506447837 8364382.987796164, 496917.7205265654 8364380.226909441, 496909.54054159165 8364272.850395911, 496874.7310487773 8364167.575873564, 496837.2565124515 8364010.0157969175, 496829.9080090435 8363979.119330314, 496674.19050747395 8363974.520739245, 496551.56940020673 8363965.898942647, 496358.3124070247 8363822.213445849, 496358.29745965224 8363822.202332561, 496311.831799191 8363783.02476289, 496258.2147144243 8363815.885999942, 496180.3716866631 8363845.349480446, 495934.5659309845 8363845.309325316, 495879.00625360716 8363829.772469904, 495894.7620519405 8363777.666471955, 495924.71794597205 8363787.145905594, 495928.94410846155 8363778.856598482, 495870.568666603 8363759.897967164, 495868.2629780691 8363767.39810946, 495887.4653894795 8363774.1123321, 495870.9412339484 8363827.007788215, 495822.55238465924 8363803.313735951, 495756.49769082625 8363772.1158385575, 495728.4662189461 8363740.135146305, 495699.67057445605 8363686.547560179, 495675.9957060391 8363634.276698323, 495687.91816927545 8363608.442097108, 495681.1251628218 8363586.3796889, 495676.53188617394 8363584.962399749, 495669.92925274424 8363587.697631335, 495563.9772981401 8363628.349716647, 495570.03997439385 8363644.138852892, 495640.3651652444 8363652.9764849795, 495652.03369400237 8363656.605482815, 495664.5659971438 8363660.503120812, 495717.07819601014 8363778.562274871, 495723.3560715295 8363821.730854609, 495726.4125305885 8363842.3908811975, 495739.8547402495 8363877.65974197, 495744.8352979101 8363890.727429444, 495806.46750978153 8363943.9466958875, 495835.9993626732 8363969.403738403, 495863.010482824 8364017.376484979, 495882.86037976906 8364032.450870185, 496062.1793176332 8364120.820473846, 496070.10235484556 8364137.0707116965, 495995.7871940467 8364183.407427773, 495924.60009677015 8364231.642690566, 495886.3941870225 8364257.57190909, 495914.029442295 8364335.132022545, 495920.3828288257 8364354.799071171, 495947.9493138898 8364359.968655328, 495977.34553808026 8364365.481373197, 496003.98936665856 8364363.114411833, 496091.8164374675 8364293.106244488, 496160.4585246747 8364216.72842064, 496206.81282846216 8364125.391822052, 496296.6507155388 8364147.076034397, 496327.50573653873 8364150.674994081, 496358.81048281636 8364163.076484973, 496393.2958627898 8364194.061433401, 496534.2104828149 8364379.476484973, 496556.5194278635 8364419.131183038, 496599.886703 8364382.883911692, 496722.4747588612 8364382.951556562, 496917.93506447837 8364382.987796164))",44
Teresópolis,"POLYGON ((495744.3886433905 8364597.000765731, 496003.52754359413 8364597.000772389, 496498.78533181455 8364730.919766626, 496558.24075460713 8364489.341182069, 496561.0399589073 8364465.773254227, 496556.0253404146 8364418.750033747, 496533.716395366 8364379.095335683, 496392.8017753381 8364193.680284108, 496358.3163953675 8364162.695335681, 496327.0116490871 8364150.293844789, 496296.15662808716 8364146.694885107, 496206.2870286498 8364125.01067276, 496159.9327248605 8364216.34727135, 496091.290637658 8364292.725095198, 496003.4952792097 8364362.733262543, 495976.8514506314 8364365.100223905, 495947.4552264409 8364359.587506036, 495903.32705219835 8364351.312083549, 495893.7454788387 8364367.012525715, 495883.0350065315 8364384.394502847, 495861.0804878166 8364404.787009776, 495744.3746205056 8364500.255026747, 495744.3886433905 8364597.000765731))",4
Boa Vista,"POLYGON ((495974.7477054056 8365429.396787297, 496212.03702483093 8365382.825986287, 496268.36595247773 8365356.78152189, 496313.35584517586 8365320.473889187, 496340.9812178846 8365285.744849211, 496364.6601087749 8365219.443954712, 496438.6762709939 8364941.263754588, 496498.78533181414 8364730.919766626, 496003.5275435945 8364597.000772389, 495744.3886433903 8364597.000765731, 495745.13902619825 8364859.25580332, 495744.90249754296 8364971.712236186, 495755.52064055327 8365001.992806677, 495779.199531448 8365032.183392568, 495857.90667016874 8365074.959011436, 495868.587344568 8365090.196675258, 495974.7477054056 8365429.396787297))",22
Cidade Nova,"POLYGON ((496676.01931548095 8365915.972262385, 496898.31736100634 8365625.144825711, 496946.8067845334 8365650.679773716, 496947.3832354904 8365657.850775447, 497020.9847697343 8365685.970311478, 497038.3038108553 8365684.82515808, 497051.00357979926 8365690.563454152, 497072.07378219574 8365699.171241176, 497096.8957963938 8365713.229410654, 497104.11110886285 8365720.401315437, 497106.7081974781 8365726.71206565, 497108.1476912295 8365757.9778614575, 497107.8477491167 8365852.537518479, 497106.6858191573 8365913.63487644, 497108.1259937218 8365939.307488311, 497108.41268282913 8365955.514138752, 497109.277963304 8365961.466216818, 497093.2576452473 8365962.7551397495, 497092.82530655415 8365957.735272874, 497091.6707721397 8365957.018096567, 497091.3826098987 8365953.145639574, 497081.7128460304 8365952.857570502, 497081.7125516303 8365955.2958073625, 497080.1248500727 8365956.443008188, 497078.379499535 8366067.907214778, 497076.6370300353 8366154.534248738, 497072.01861726405 8366154.533689759, 497072.5950134551 8366162.565395774, 497066.8217218253 8366163.712088313, 497052.38868942193 8366167.152509849, 497047.7693633784 8366174.6099966755, 497047.1900318435 8366190.673308656, 497044.86250175134 8366340.980752883, 497055.25305923016 8366349.013766412, 497072.5717400972 8366354.752830885, 497070.2599579373 8366375.405610725, 497067.8514326265 8366387.102326356, 497077.1858908823 8366390.3225476425, 497091.04137194407 8366390.324218752, 497158.0107082563 8366380.005654266, 497188.02987244166 8366389.188302019, 497191.4343569772 8366900.931703137, 497191.4302261793 8366936.501619849, 497191.42929342407 8366944.533582774, 497192.58236290544 8366958.302748615, 497196.0389441935 8367021.411349107, 497198.3264901743 8367209.589797956, 497187.93193911144 8367231.389803323, 497181.001818151 8367249.7479230305, 497191.3925197191 8367261.223488195, 497208.7125484484 8367261.225492985, 497220.26008550875 8367253.194751093, 497222.5707680898 8367241.720659992, 497223.7285031493 8367214.182403183, 497224.8960850923 8367101.73441051, 497221.44495311705 8366990.433822397, 497226.0683948652 8366947.97986625, 497229.53597157897 8366915.85252208, 497244.5507342655 8366877.989425749, 497253.7909405395 8366851.5999134835, 497256.10339184385 8366824.06222034, 497261.8799723678 8366794.23013524, 497260.72934096947 8366758.660194562, 497269.9683183488 8366742.597532219, 497260.73298033484 8366726.532780457, 497263.04774972016 8366678.341808675, 497252.6657391063 8366592.285349665, 497242.27880664665 8366550.977612249, 497237.66650286055 8366495.901935088, 497237.67069783324 8366459.185167141, 497218.04945546185 8366394.928735912, 497220.36427933525 8366346.738529855, 497220.3896103451 8366126.4403136745, 497222.7137894714 8365995.639497642, 497223.88356787385 8365863.691806439, 497226.1993846492 8365806.323655062, 497214.6571926921 8365773.048823483, 497190.4150426331 8365736.330333993, 497165.4518980691 8365700.8988184985, 497135.000059339 8365690.429332638, 497089.39512976364 8365667.3195232805, 496945.74863589037 8365611.24544757, 496937.62010355154 8365093.579324267, 496947.8977145263 8364815.667741719, 496925.406658308 8364485.116936604, 496917.4409770296 8364382.606646874, 496721.9806714126 8364382.570407271, 496599.39261555084 8364382.5027624015, 496556.025340415 8364418.750033747, 496561.039958907 8364465.773254229, 496558.2407546093 8364489.341182068, 496498.78533181373 8364730.919766628, 496438.67627099477 8364941.263754588, 496364.66010877525 8365219.443954714, 496340.98121788696 8365285.7448492125, 496313.35584517557 8365320.473889187, 496268.3659524777 8365356.781521892, 496212.0370248301 8365382.825986287, 495974.7477054066 8365429.396787298, 495979.6645345897 8365446.863894869, 495996.0368643963 8365447.746018965, 495992.57183813764 8365455.2032787725, 496027.2092981159 8365454.635302298, 496068.1939972423 8365472.425936342, 496073.96575906896 8365479.311012378, 496116.6827474962 8365494.807169461, 496125.91841745534 8365501.119092833, 496137.46052372287 8365524.067917401, 496137.45731405925 8365544.146631783, 496129.37245761254 8365561.355680657, 496114.938082066 8365574.547941595, 496109.7406698621 8365585.447007267, 496109.7391921131 8365594.625819312, 496116.6650456413 8365604.953138547, 496131.09605560784 8365613.560679635, 496148.4154379871 8365609.547681572, 496173.8211132161 8365579.14679864, 496184.21487585484 8365563.659078861, 496195.18424597674 8365558.497761195, 496214.8126913097 8365555.0587754855, 496239.0585543119 8365557.930933413, 496257.5308808634 8365564.24424192, 496269.652445998 8365574.572321575, 496267.34244350734 8365579.735012163, 496266.18066056777 8365626.202810573, 496288.695716361 8365622.764210787, 496293.3131478049 8365628.501773705, 496299.08562608133 8365631.371030258, 496303.126076027 8365635.38741346, 496308.3217463793 8365635.388207776, 496316.9827865195 8365624.489628172, 496341.80597979063 8365627.361770642, 496359.12120893225 8365651.458863234, 496367.2017918302 8365661.786394468, 496386.24942177295 8365681.867962699, 496387.4030001904 8365688.752381942, 496676.01931548095 8365915.972262385))",124
Malhado,"POLYGON ((494914.27901571064 8364731.237580186, 494839.45203825826 8364705.591989275, 494796.98949084233 8365027.798355548, 494790.75608990557 8365053.900721948, 494783.15913252195 8365072.990512308, 494762.201088668 8365106.977271149, 494570.83391327696 8365290.769957363, 494560.7244292442 8365307.811659017, 494504.9138996642 8365506.603977891, 494484.7758624051 8365568.898448565, 494427.32831793325 8365746.605159924, 494369.0275581052 8365812.232904073, 494342.73039792303 8365847.4905781, 494240.8532514424 8366031.181111811, 494161.3773895581 8366160.718974926, 494182.2180820735 8366173.133105842, 494194.03464102256 8366181.467701776, 494207.5893837203 8366167.256377327, 494256.0894056154 8366140.878137918, 494299.96766814013 8366128.267314573, 494340.37635731 8366139.750626771, 494383.09221228247 8366160.413438811, 494401.55891348666 8366191.397105329, 494416.56494133367 8366208.611356036, 494437.3466923453 8366214.353110629, 494473.13611304614 8366230.424706676, 494482.21189361264 8366252.987142304, 494482.36773231823 8366253.374558106, 494483.5173926751 8366275.175169996, 494483.5124179409 8366296.975628608, 494468.50182432134 8366299.266983861, 494467.3453488758 8366307.298356853, 494489.2818346989 8366313.040330256, 494506.5983211306 8366325.6655898, 494507.7244992343 8366325.882405798, 494514.6427823244 8366327.214680676, 494542.3900247676 8366332.558051793, 494577.0286536897 8366332.565846714, 494617.4480333069 8366298.15310267, 494647.47477642295 8366268.327672708, 494746.78641131136 8366201.8010175135, 494933.8657318627 8366050.386662234, 495010.08071806125 8365997.623112689, 495028.5530521694 8366004.511165367, 495049.3321860234 8366022.873493553, 495049.33923637785 8365988.45215401, 495079.35841322556 8365990.753069692, 495102.4514702412 8365986.168299516, 495083.9848378359 8365951.7433193475, 495326.4873445955 8365765.917653387, 495432.72301899694 8365697.096156002, 495460.4392256285 8365664.975258963, 495513.9602731901 8365662.790452868, 495627.69587919436 8365615.195816004, 495679.07969018864 8365588.81590343, 495752.4020155917 8365553.834520891, 495777.94252370525 8365537.383110262, 495763.1113721716 8365536.674724502, 495727.48498736555 8365528.484750984, 495698.8200800522 8365512.5143026225, 495655.41322040424 8365472.792931059, 495613.6443554609 8365442.080530367, 495573.52370047144 8365432.602793392, 495519.8691586738 8365433.071559495, 495490.79475268314 8365442.899527716, 495420.7704791025 8365485.077891339, 495351.8230353768 8365355.570143427, 495190.6928897109 8365436.135216255, 494884.2058807097 8365012.197920354, 494914.27901571064 8364731.237580186))",6
Esperança,"POLYGON ((494250.0195622395 8365994.248700008, 494264.05626394704 8365989.344704943, 494342.73039792303 8365847.4905781, 494369.0275581052 8365812.232904073, 494427.32831793325 8365746.605159924, 494484.7758624051 8365568.898448565, 494504.9138996642 8365506.603977891, 494560.7244292442 8365307.811659017, 494570.83391327696 8365290.769957363, 494590.409850744 8365271.968853544, 494563.50624520454 8365246.561339474, 494542.9281785815 8365232.597651405, 494514.26587150106 8365212.7545157345, 494487.07342631987 8365192.91138006, 494467.2302906442 8365181.152484846, 494445.9172930692 8365176.007968191, 494425.33922644804 8365177.477830095, 494406.23102172546 8365185.562070553, 494390.0625408061 8365197.320965767, 494370.2194051332 8365215.69423954, 494354.7858551676 8365228.188065703, 494332.7379266402 8365237.007237114, 494307.75027431076 8365239.212029966, 494285.7023457851 8365236.272306161, 494249.69072919525 8365234.802444259, 494222.49828401086 8365234.067513307, 494204.85994119133 8365240.681891868, 494174.72777220706 8365254.645579933, 494156.3544984367 8365268.6092679985, 494128.75375828415 8365242.396730761, 494046.441491786 8365149.632112957, 493975.8881205057 8365076.465653851, 493918.4001883504 8365020.2842656085, 493941.91797878017 8364974.5552286655, 493964.1292252907 8364932.745823461, 493979.8077522437 8364902.69531347, 493990.2601035465 8364879.177523046, 493991.56664745795 8364849.127013056, 493961.5161374663 8364837.368117844, 493931.46562747675 8364829.528854363, 493900.1085735752 8364834.755030015, 493879.2038709742 8364833.448486102, 493838.70100967854 8364828.222310452, 493782.5196214383 8364826.915766539, 493761.4975340319 8364819.311272672, 493753.22956083284 8364809.803103497, 493747.0285809374 8364793.680555762, 493743.3079929994 8364758.955068333, 493741.2409996988 8364727.123371525, 493741.2409996972 8364694.464877395, 493741.654398359 8364679.9959243005, 493742.9573653337 8364662.546094896, 493759.63553416467 8364662.307324058, 493772.96934684215 8364662.116432263, 493783.5110126697 8364658.395844324, 493814.82596115355 8364602.276976252, 493839.00978275394 8364538.716932298, 493849.241399585 8364500.270856933, 493853.5820855143 8364465.8554185, 493855.4423794833 8364451.283115739, 493859.7830654102 8364433.6103230305, 493865.9840453097 8364419.658118259, 493885.4367489149 8364399.114501525, 493974.36339396634 8364246.983794699, 493944.5033388552 8364233.022208106, 493912.3020458226 8364219.382328874, 493859.5144100199 8364200.170327069, 493815.09226799244 8364181.159733653, 493715.6747417458 8364139.871807936, 493549.4931318062 8364062.203798211, 493560.9852253349 8364175.372238583, 493507.2056054356 8364208.254792708, 493526.39670774154 8364255.631506414, 493467.50189035846 8364266.1426069625, 493459.82861326414 8364235.875369329, 493418.8592159269 8364239.811875477, 493393.28284592304 8364134.534799448, 493334.3860844652 8364152.940853969, 493343.33261525177 8364208.2101650685, 493251.14742859494 8364231.870408075, 493265.19977415487 8364341.092056198, 493184.53679686267 8364363.439302679, 493162.757389161 8364416.068184203, 493156.62002875976 8364476.198589567, 493170.40850164613 8364523.972217012, 493208.7885973807 8364623.989622731, 493220.30290862 8364652.94216789, 493277.8837352542 8364767.439543052, 493271.47648886015 8364788.49178979, 493275.5060001072 8364812.093684332, 493286.6410054404 8364824.531862548, 493289.714191663 8364822.953639442, 493295.3486230194 8364818.744442441, 493296.4407956168 8364817.119547061, 493316.19440076046 8364856.941279409, 493359.7838349224 8364906.945021939, 493338.1800496882 8364935.797017798, 493359.3988136373 8364999.265230085, 493378.935173418 8365100.384047321, 493412.62254817924 8365134.0254795635, 493435.6684124282 8365132.979035203, 493439.24946701294 8365141.2608425245, 493459.578088683 8365160.936295237, 493464.0227267839 8365221.419440653, 493444.1954267758 8365230.673515968, 493473.0647536674 8365344.460780941, 493516.6339442067 8365423.07251323, 493527.885661489 8365440.428889669, 493533.527285264 8365449.131302046, 493553.1115181082 8365466.506153499, 493579.99178727804 8365491.383347044, 493598.8023581727 8365507.865611621, 493609.0531797306 8365512.458894438, 493609.3361814529 8365513.368677336, 493652.807142023 8365532.064709185, 493689.92900004983 8365561.023718869, 493765.4650410324 8365574.202072738, 493770.57796461455 8365607.100201178, 493711.6820176372 8365609.716739629, 493682.2271584522 8365637.342389695, 493633.5754823731 8365633.381985998, 493624.61032322765 8365648.22594557, 493609.4662619475 8365679.894713055, 493504.75250810484 8365713.089770534, 493501.04893173877 8365723.818682926, 493484.2477943867 8365784.6678103, 493463.7589037801 8365797.294774102, 493445.5755922311 8365918.93067117, 493416.5976736477 8365961.503091559, 493410.4312255447 8366037.295826158, 493396.08616346034 8366056.240486518, 493400.4992182936 8366090.95458852, 493391.255676136 8366115.198952031, 493397.0192501473 8366149.838875997, 493423.56934983167 8366171.783726864, 493474.36053427035 8366215.672937373, 493491.28661302343 8366237.142498348, 493516.314121594 8366214.382685801, 493526.88024078554 8366212.17360519, 493541.90836606774 8366207.364605099, 493552.4280537671 8366201.353354985, 493567.45617905277 8366191.134229792, 493589.99836697575 8366172.499354444, 493612.54055490415 8366154.465604099, 493662.4339308431 8366118.398103416, 493718.03799439437 8366076.619915133, 493745.99030742224 8366053.176039686, 493766.4285578078 8366036.645101874, 493774.2431829564 8366045.060852036, 493786.2656831828 8366052.274352169, 493788.97074573743 8366060.389539824, 493803.20559804415 8366055.87346462, 493812.927233964 8366059.950279687, 493820.2198430557 8366068.787842763, 493834.25211275433 8366081.588759634, 493842.87614461884 8366088.801586285, 493850.8729741634 8366093.348803083, 493862.47621703474 8366097.4256181475, 493871.72745121724 8366097.4256181475, 493881.13548597874 8366096.014412932, 493887.8004421835 8366094.130838353, 493899.4811537607 8366090.526392656, 493912.4956018421 8366086.292777015, 493933.66368005396 8366081.745560216, 493961.1037814391 8366079.393551525, 494003.70928863046 8366081.061826624, 494035.3474671864 8366087.679676081, 494054.50832692144 8366088.130519838, 494081.3805927533 8366085.454272788, 494102.98448716797 8366083.176878522, 494109.652024583 8366081.033741822, 494118.8516386946 8366092.078921569, 494138.3647690249 8366076.733004462, 494160.722186151 8366061.519379742, 494203.5849266736 8366032.415054193, 494231.10174775077 8366013.6956811715, 494250.0195622395 8365994.248700008))",12
